date,time,type,cpuReal,cpuUser,cpuSystem,collectionPauseTime,youngSizeBefore,youngSizeAfter,youngSizeMax,totalSizeBefore,totalSizeAfter,totalSizeMax,youngSizeCollected,totalSizeCollected,promotedSize,tenuredSizeBefore,tenuredSizeAfter
13-11-06 11:56:12,3400.427,CMS_CONCURRENT_RESET,0.03,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:04:05,3873.331,CMS_INITIAL_MARK,0.06,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:04:06,3874.261,CMS_CONCURRENT_MARK,0.87,4.17,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:04:06,3874.281,CMS_CONCURRENT_PRECLEAN,0.02,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:04:07,3875.866,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.58,4.66,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:04:09,3877.795,CMS_CONCURRENT_SWEEP,1.68,6.17,0.13,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:04:09,3877.82,CMS_CONCURRENT_RESET,0.03,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:13:10,4418.984,CMS_INITIAL_MARK,0.04,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:13:11,4419.875,CMS_CONCURRENT_MARK,0.85,4.33,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:13:11,4419.889,CMS_CONCURRENT_PRECLEAN,0.01,0.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:13:13,4421.529,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.64,5.88,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:13:15,4423.419,CMS_CONCURRENT_SWEEP,1.61,5.2,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:13:15,4423.448,CMS_CONCURRENT_RESET,0.03,0.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:21:59,4947.937,CMS_INITIAL_MARK,0.07,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:22:00,4948.819,CMS_CONCURRENT_MARK,0.81,4.07,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:22:00,4948.835,CMS_CONCURRENT_PRECLEAN,0.01,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:22:01,4950.035,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.2,4.61,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:22:03,4951.808,CMS_CONCURRENT_SWEEP,1.54,4.97,0.08,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:22:03,4951.831,CMS_CONCURRENT_RESET,0.02,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:29:04,5372.84,CMS_INITIAL_MARK,0.03,0.03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:29:05,5373.752,CMS_CONCURRENT_MARK,0.88,4.42,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:29:05,5373.768,CMS_CONCURRENT_PRECLEAN,0.02,0.06,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:29:06,5374.48,CMS_CONCURRENT_ABORTABLE_PRECLEAN,0.71,3.69,0.08,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:29:08,5376.701,CMS_CONCURRENT_SWEEP,1.9,11.69,0.27,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:29:08,5376.727,CMS_CONCURRENT_RESET,0.03,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:33:21,5629.459,CMS_INITIAL_MARK,0.06,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:33:22,5630.41,CMS_CONCURRENT_MARK,0.89,4.71,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:33:22,5630.432,CMS_CONCURRENT_PRECLEAN,0.02,0.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:33:23,5631.662,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.23,4.67,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:33:25,5634.082,CMS_CONCURRENT_SWEEP,2.2,9.19,0.24,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:33:26,5634.109,CMS_CONCURRENT_RESET,0.03,0.11,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:39:29,5997.752,CMS_INITIAL_MARK,0.05,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:39:30,5998.685,CMS_CONCURRENT_MARK,0.88,4.32,0.08,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:39:30,5998.7,CMS_CONCURRENT_PRECLEAN,0.01,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:39:31,5999.899,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.2,5.02,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:39:34,6002.196,CMS_CONCURRENT_SWEEP,2.12,11.62,0.27,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:39:34,6002.248,CMS_CONCURRENT_RESET,0.05,0.32,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:44:05,6273.533,CMS_INITIAL_MARK,0.04,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:44:06,6274.463,CMS_CONCURRENT_MARK,0.89,3.57,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:44:06,6274.476,CMS_CONCURRENT_PRECLEAN,0.01,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:44:08,6276.283,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.81,6.11,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:44:10,6278.258,CMS_CONCURRENT_SWEEP,1.7,6.02,0.21,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:44:10,6278.282,CMS_CONCURRENT_RESET,0.03,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:50:23,6651.288,CMS_INITIAL_MARK,0.05,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 12:50:24,6652.259,CMS_CONCURRENT_MARK,0.92,4.53,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0
