10.127.248.77 - - [04/Apr/2014:08:27:28 -0500] "GET /artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1/validation.csv HTTP/1.1" 404 1135
10.127.248.77 - - [04/Apr/2014:08:27:28 -0500] "GET /artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1/ratios.csv HTTP/1.1" 404 1127
10.127.248.77 - - [04/Apr/2014:08:27:28 -0500] "GET /eLoggingCharts/SSCI/css/images/ui-icons_888888_256x240.png HTTP/1.1" 404 1067
10.127.248.77 - - [04/Apr/2014:08:27:42 -0500] "GET /undefined HTTP/1.1" 404 -
10.127.248.77 - - [04/Apr/2014:08:27:48 -0500] "GET /eLoggingCharts/SSCI/js/jquery-ui-1.8.11.custom.min.js HTTP/1.1" 404 1057
10.127.248.77 - - [04/Apr/2014:08:27:48 -0500] "GET /eLoggingCharts/SSCI/testsList HTTP/1.1" 200 57
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/?deeplink[]=/artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1 HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/jquery.jqplot.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/examples.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/css/demo_table.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/css/eLoggingCharts.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/css/demo_table_jui.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/css/demo_page.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/css/jquery-ui-1.8.11.custom.css HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jquery.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.logAxisRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/jquery.jqplot.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.BezierCurveRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.barRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.canvasTextRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.canvasAxisTickRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.dateAxisRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.highlighter.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery-ui-1.8.11.custom.min.js HTTP/1.1" 404 1057
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jquery.dataTables.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.pieRenderer.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/plugins/jqplot.cursor.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jquery.csv-0.71.min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/eLogging/charts.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:14 -0500] "GET /eLoggingCharts/SSCI/js/yui/yui/yui-debug.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/loader/loader-debug.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/oop/oop-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/event-custom/event-custom-base-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/event/event-base-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/pluginhost/pluginhost-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/dom/dom-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/node/node-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/js/yui/event/event-delegate-min.js HTTP/1.1" 304 -
10.127.248.77 - - [04/Apr/2014:08:28:15 -0500] "GET /eLoggingCharts/SSCI/testsList HTTP/1.1" 200 57
10.127.248.77 - - [04/Apr/2014:08:29:03 -0500] "GET /artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1/config.js?_=1396618094859 HTTP/1.1" 200 558
10.127.248.77 - - [04/Apr/2014:08:29:03 -0500] "GET /artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1/validation.csv HTTP/1.1" 404 1135
10.127.248.77 - - [04/Apr/2014:08:29:03 -0500] "GET /artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1/ratios.csv HTTP/1.1" 404 1127
10.127.254.19 - - [04/Apr/2014:08:29:26 -0500] "GET /eLoggingCharts/SSCI/?deeplink[]=/artifacts/SSCI/eLoggingCharts/SSCI/SSCI_2014-03-31_ssci-kiosk-B6_t1_web_Test1 HTTP/1.1" 200 666
10.127.254.19 - - [04/Apr/2014:08:29:27 -0500] "GET /eLoggingCharts/SSCI/js/jquery/jqplot/jquery.jqplot.css HTTP/1.1" 200 1401
10.127.254.19 - - [04/Apr/2014:08:29:27 -0500] "GET /eLoggingCharts/SSCI/js/jquery/examples.css HTTP/1.1" 200 565
10.127.254.19 - - [04/Apr/2014:08:29:27 -0500] "GET /eLoggingCharts/SSCI/css/eLoggingCharts.css HTTP/1.1" 200 1808
10.127.254.19 - - [04/Apr/2014:08:29:27 -0500] "GET /eLoggingCharts/SSCI/css/demo_table.css HTTP/1.1" 200 2626
10.127.254.19 - - [04/Apr/2014:08:29:27 -0500] "GET /eLoggingCharts/SSCI/css/demo_table_jui.css HTTP/1.1" 200 2347
10.127.254.19 - - [04/Apr/2014:08:29:27 -0500] "GET /eLoggingCharts/SSCI/css/demo_page.css HTTP/1.1" 200 1276
